"Name","Symbol","Share Class","Daily NAV $","Daily Change $","Market Price $","Market Price Daily Change $","Premium / Discount %","Distribution Rate % (NAV)","Market Price Distribution Rate"
"Name","Symbol","Share Class","Daily 
 NAV $","Daily Change $","Market Price $","Market Price Daily 
 Change $","Premium / Discount %","Distribution Rate % (NAV)","Market Price Distribution Rate"
"Access Income Fund","PAXS","-","14.609999999999999","0.059999999999999998","14","-0.10000000000000001","-4.1799999999999997","12.27","12.81"
"California Municipal Income Fund","PCQ","-","10.56","0.02","9.6300000000000008","0.029999999999999999","-8.8100000000000005","4.0899999999999999","4.4900000000000002"
"California Municipal Income Fund II","PCK","-","6.7300000000000004","0.01","5.8100000000000005","0.040000000000000001","-13.67","3.8300000000000001","4.4400000000000004"
"California Municipal Income Fund III","PZC","-","7.8200000000000003","0.02","7.5099999999999998","0.089999999999999997","-3.96","4.5300000000000002","4.71"
"Corporate & Income Opportunity Fund","PTY","-","11.140000000000001","0.02","13.42","-0.01","20.469999999999999","12.800000000000001","10.619999999999999"
"Corporate & Income Strategy Fund","PCN","-","11.44","0.02","12.44","-0.040000000000000001","8.7400000000000002","11.800000000000001","10.85"
"Dynamic Income Fund","PDI","-","16.989999999999998","0.029999999999999999","17.890000000000001","-0.01","5.2999999999999998","15.57","14.789999999999999"
"Dynamic Income Opportunities Fund","PDO","-","12.23","0.02","12.130000000000001","-0.040000000000000001","-0.81999999999999995","12.550000000000001","12.65"
"Dynamic Income Strategy Fund","PDX","-","22.780000000000001","-0.13","20.010000000000002","0.080000000000000002","-12.16","3.8599999999999999","4.4000000000000004"
"Global StocksPLUSÂ® & Income Fund","PGP","-","7.25","0","7.4400000000000004","0.080000000000000002","2.6200000000000001","11.42","11.130000000000001"
"High Income Fund","PHK","-","4.5999999999999996","0.01","4.8899999999999997","0.02","6.2999999999999998","12.52","11.779999999999999"
"Income Strategy Fund","PFL","-","8","0","8.2899999999999991","-0.029999999999999999","3.6299999999999999","12.210000000000001","11.779999999999999"
"Income Strategy Fund II","PFN","-","7.04","0.01","7.1799999999999997","0.089999999999999997","1.99","12.24","12"
"Municipal Income Fund","PMF","-","9.6500000000000004","0.02","9.2400000000000002","-0.02","-4.25","5.2199999999999998","5.4500000000000002"
"Municipal Income Fund II","PML","-","8.9399999999999995","0.01","8.3300000000000001","0.02","-6.8200000000000003","5.2999999999999998","5.6899999999999995"
"Municipal Income Fund III","PMX","-","8.2300000000000004","0.01","7.4900000000000002","-0.01","-8.9900000000000002","4.8100000000000005","5.29"
"New York Municipal Income Fund","PNF","-","8.9000000000000004","0.02","8.3100000000000005","0.089999999999999997","-6.6299999999999999","4.5199999999999996","4.8399999999999999"
"New York Municipal Income Fund II","PNI","-","8.5899999999999999","0.02","7.46","0.01","-13.15","4.1200000000000001","4.75"
"New York Municipal Income Fund III","PYN","-","6.8300000000000001","0.02","5.96","0","-12.74","4.3600000000000003","4.9900000000000002"
"PCM Fund, Inc.","PCM","-","6.4800000000000004","0.02","8.25","0.02","27.309999999999999","14.81","11.640000000000001"
"Strategic Income Fund, Inc.","RCS","-","4.3300000000000001","0","6.0599999999999996","-0.17999999999999999","39.950000000000003","14.130000000000001","10.1"
